Rez.Descriere, Rez.Pret euro ,Rez.Stare,Rez.Suprafata
"1 camera, 45mp, Terase 29mp, BLOC NOU, Grigorescu
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Grigorescu",109250.00 ,Dec.,45 mp
"1 etaj intreg, 5 apartamente strada Horea, Facultatea de Litere
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",780000.00 ,Dec.,308 mp
"1
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",130000.00 ,Semidec.,48 mp
"1.944 euro/mp, 2 camere mobilate si utilate, in bloc nou Plopilor
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Plopilor",140000.00 ,Semidec.,72 mp
"1.956 euro/mp 4 camere, zona strazii Bucuresti, decomandat, 91 mp
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Marasti",178000.00 ,Dec.,91 mp
"1.987 Euro/mp 2 camere decomandate, foarte spatioase, etaj intermediar
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor",124000.00 ,Dec.,62.4 mp
"1400 euro/mp, 2 camere, imobil finalizat, zona Vivo
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",76000.00 ,Semidec.,54 mp
"1406 euro/mp- Vanzare 3 camere, Zorilor, 91 mp, pe 2 niveluri, finisat
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor",128000.00 ,Semidec.,91 mp
"171054-Vanzare Apartament In Casa, Zona Centrala, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",210000.00 ,Dec.,65 mp
"1811 euro/mp! 3 camere, decomandat, zona Grigorescu
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Grigorescu",128000.00 ,Dec.,70.66 mp
"182690-Apartamente De Vanzare In Bloc Nou,D.Rotund, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Dâmbul Rotund",79600.00 ,Semidec.,46 mp
"187997-Vanzare Apartament In Casa, Grigorescu, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Grigorescu",440000.00 ,Dec.,114 mp
"188537-Vanzare Apartamente In Bloc Nou, Zona Centrala, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",185000.00 ,Semidec.,55 mp
"188629-Vanzari Apartamente In Bloc Nou, Dambul Rotund, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Dâmbul Rotund",90000.00 ,Semidec.,50 mp
"190480-Vanzare apartamente bloc nou, Floresti, Cluj
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",79760.00 ,Semidec.,54 mp
"190816- Exclusivitate! Vanzare Apartamente In Bloc Nou, Sopor, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Sopor",149451.00 ,Dec.,56 mp
"190987-Vanzare apartament 2 camere, Zona Centrala, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",93000.00 ,Dec.,55 mp
"190990-Vanzare Apartamente In Bloc Nou, Marasti, Cluj-Napoca
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",119000.00 ,Dec.,55 mp
