Rez.Descriere, Rez.Pret euro ,Rez.Stare,Rez.Suprafata
"Apartament cu 2 camere de vanzare in Centru
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central", € -   ,Semidec.,67 mp
"Apartament cu 2 camere de vanzare in Centru
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",123500.00 ,Semidec.,47 mp
"Apartament cu 2 camere de vanzare in Centru
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",187000.00 ,Dec.,52 mp
"Apartament cu 2 camere de vanzare in Centru
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Ultracentral",130000.00 ,Dec.,38 mp
"Apartament cu 2 camere de vanzare in Cluj-Napoca, Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",79900.00 ,Semidec.,31 mp
"Apartament cu 2 camere de vanzare in Cluj-Napoca, Intre Lacuri
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Între Lacuri",127000.00 ,Dec.,50 mp
"Apartament cu 2 camere de vanzare in Cluj-Napoca, Lidl
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Dâmbul Rotund",140000.00 ,Semidec.,58 mp
"Apartament cu 2 camere de vanzare in Dambul Rotund
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Dâmbul Rotund", € -   ,Semidec.,42 mp
"Apartament cu 2 camere de vanzare in Dambul Rotund
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Dâmbul Rotund",100000.00 ,Semidec.,45 mp
"Apartament cu 2 camere de vanzare in Dambul Rotund
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Dâmbul Rotund",108000.00 ,Semidec.,50 mp
"Apartament cu 2 camere de vanzare in Dambul Rotund
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Dâmbul Rotund",91000.00 ,Semidec.,48 mp
"Apartament cu 2 camere de vanzare in Dambul Rotund
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Dâmbul Rotund",93000.00 ,Dec.,47 mp
"Apartament cu 2 camere de vanzare in Europa
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Europa",139000.00 ,Semidec.,41 mp
"Apartament cu 2 camere de vanzare in Europa
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Europa",155000.00 ,Dec.,52 mp
"Apartament cu 2 camere de vanzare in Gheorgheni - zona Iulius Mall
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",101999.00 ,Semidec.,48 mp
"Apartament cu 2 camere de vanzare in Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",100000.00 ,Semidec.,47 mp
"Apartament cu 2 camere de vanzare in Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",102000.00 ,Semidec.,46 mp
"Apartament cu 2 camere de vanzare in Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",105000.00 ,Semidec.,44 mp
"Apartament cu 2 camere de vanzare in Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",105000.00 ,Semidec.,50 mp
"Apartament cu 2 camere de vanzare in Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",110000.00 ,Semidec.,52 mp
"Apartament cu 2 camere de vanzare in Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",112000.00 ,Semidec.,46 mp
"Apartament cu 2 camere de vanzare in Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",115000.00 ,Semidec.,46 mp
"Apartament cu 2 camere de vanzare in Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",118000.00 ,Semidec.,45 mp
"Apartament cu 2 camere de vanzare in Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",120000.00 ,Semidec.,47 mp
"Apartament cu 2 camere de vanzare in Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",137000.00 ,Semidec.,56 mp
"Apartament cu 2 camere de vanzare in Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",150000.00 ,Dec.,60 mp
"Apartament cu 2 camere de vanzare in Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",156000.00 ,Semidec.,43 mp
"Apartament cu 2 camere de vanzare in Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",159000.00 ,Semidec.,53 mp
"Apartament cu 2 camere de vanzare in Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",159000.00 ,Semidec.,56 mp
"Apartament cu 2 camere de vanzare in Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",160000.00 ,Semidec.,42 mp
"Apartament cu 2 camere de vanzare in Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",160000.00 ,Semidec.,50 mp
"Apartament cu 2 camere de vanzare in Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",165000.00 ,Dec.,50 mp
"Apartament cu 2 camere de vanzare in Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",215000.00 ,Semidec.,78 mp
"Apartament cu 2 camere de vanzare in Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",82000.00 ,Semidec.,25 mp
"Apartament cu 2 camere de vanzare in Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",86500.00 ,Semidec.,30 mp
"Apartament cu 2 camere de vanzare in Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",99000.00 ,Semidec.,36 mp
"Apartament cu 2 camere de vanzare in Gheorgheni.
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",108000.00 ,Semidec.,38 mp
"Apartament cu 2 camere de vanzare in Gheorgheni.
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",135000.00 ,Dec.,48 mp
"Apartament cu 2 camere de vanzare in Grigorescu
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Grigorescu",105000.00 ,Semidec.,46 mp
"Apartament cu 2 camere de vanzare in Grigorescu
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Grigorescu",125000.00 ,Semidec.,41 mp
"Apartament cu 2 camere de vanzare in Iris
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Iris",115000.00 ,Semidec.,39 mp
"Apartament cu 2 camere de vanzare in Iris
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Iris",120900.00 ,Semidec.,52 mp
"Apartament cu 2 camere de vanzare in Iris.
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Iris",109000.00 ,Dec.,58 mp
"Apartament cu 2 camere de vanzare in Liceului Mihai Eminescu
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",134000.00 ,Semidec.,41 mp
"Apartament cu 2 camere de vanzare in Manastur
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",113900.00 ,Semidec.,51 mp
"Apartament cu 2 camere de vanzare in Manastur
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",120000.00 ,Dec.,50 mp
"Apartament cu 2 camere de vanzare in Manastur
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",120000.00 ,Semidec.,40 mp
"Apartament cu 2 camere de vanzare in Manastur
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",125000.00 ,Dec.,54 mp
"Apartament cu 2 camere de vanzare in Manastur
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",89000.00 ,Semidec.,36 mp
"Apartament cu 2 camere de vanzare in Manastur.
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",109000.00 ,Semidec.,51 mp
"Apartament cu 2 camere de vanzare in Marasti !
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Marasti",88000.00 ,Dec.,50 mp
"Apartament cu 2 camere de vanzare in Marasti
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Marasti",165000.00 ,Semidec.,51 mp
"Apartament cu 2 camere de vanzare in Marasti
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Marasti",95000.00 ,Dec.,42 mp
"Apartament cu 2 camere de vanzare in Marasti
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",125000.00 ,Dec.,50 mp
"Apartament cu 2 camere de vanzare in Marasti
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",135000.00 ,Dec.,50 mp
"Apartament cu 2 camere de vanzare in Marasti
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",165000.00 ,Dec.,55 mp
"Apartament cu 2 camere de vanzare in Marasti
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",179900.00 ,Dec.,57 mp
"Apartament cu 2 camere de vanzare in Marasti
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",99500.00 ,Dec.,55 mp
"Apartament cu 2 camere de vanzare in Marasti
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Someşeni",139000.00 ,Semidec.,55 mp
"Apartament cu 2 camere de vanzare in Marasti
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Someşeni",163000.00 ,Semidec.,50 mp
"Apartament cu 2 camere de vanzare in Plopilor
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",128000.00 ,Semidec.,48 mp
"Apartament cu 2 camere de vanzare in Plopilor
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Plopilor",120000.00 ,Dec.,45 mp
"Apartament cu 2 camere de vanzare in Plopilor
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Plopilor",140000.00 ,Dec.,70 mp
"Apartament cu 2 camere de vanzare in Plopilor
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Plopilor",145000.00 ,Semidec.,55 mp
"Apartament cu 2 camere de vanzare in str. Campului, Comision 0%
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Câmpului",140779.00 ,Semidec.,64 mp
"Apartament cu 2 camere de vanzare in zona Andrei Muresanu
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Andrei Mureşanu",150000.00 ,Semidec.,50 mp
"Apartament cu 2 camere de vanzare in zona BMW.
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Vest",116000.00 ,Semidec.,50 mp
"Apartament cu 2 camere de vanzare in zona BMW.
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Vest",135000.00 ,Semidec.,46 mp
"Apartament cu 2 camere de vanzare in zona BMW.
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Vest",95000.00 ,Dec.,52 mp
"Apartament cu 2 camere de vanzare in zona BMW.
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Vest",99000.00 ,Dec.,47 mp
"Apartament cu 2 camere de vanzare in zona Borhanci
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Borhanci",129242.00 ,,
"Apartament cu 2 camere de vanzare in zona Central
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",200000.00 ,Semidec.,64 mp
"Apartament cu 2 camere de vanzare in zona Centrala
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",105000.00 ,Semidec.,47 mp
"Apartament cu 2 camere de vanzare in zona Centrala
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",135000.00 ,,
"Apartament cu 2 camere de vanzare in zona Centrala
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",163000.00 ,Semidec.,78 mp
"Apartament cu 2 camere de vanzare in zona Centrala
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",183000.00 ,Semidec.,50 mp
"Apartament cu 2 camere de vanzare in zona Centrala
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Ultracentral",164500.00 ,Semidec.,47 mp
"Apartament cu 2 camere de vanzare in zona Europa
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Europa",174070.00 ,Dec.,52 mp
"Apartament cu 2 camere de vanzare in zona Europa, 61 + 30 mp terasa
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Europa",169900.00 ,Dec.,61 mp
"Apartament cu 2 camere de vanzare in zona Facultatii de Litere
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",147000.00 ,Dec.,48 mp
"Apartament cu 2 camere de vanzare in zona Facultatii de Litere
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",158000.00 ,Dec.,52 mp
"Apartament cu 2 camere de vanzare in zona Facultatii de Litere
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",87000.00 ,Dec.,38 mp
"Apartament cu 2 camere de vanzare in zona Floresti.
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Vest",92000.00 ,Semidec.,47 mp
"Apartament cu 2 camere de vanzare in zona FSEGA
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",160000.00 ,Dec.,55 mp
"Apartament cu 2 camere de vanzare in zona FSEGA, Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",175000.00 ,Dec.,55 mp
"Apartament cu 2 camere de vanzare in zona Gara
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gară",137000.00 ,Dec.,70 mp
"Apartament cu 2 camere de vanzare in zona Gara, comision 0%
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gară",149990.00 ,Semidec.,47 mp
"Apartament cu 2 camere de vanzare in zona Garii!
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gară",89500.00 ,Dec.,42 mp
"Apartament cu 2 camere de vanzare in zona Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",128000.00 ,Semidec.,44 mp
"Apartament cu 2 camere de vanzare in zona Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",155000.00 ,Semidec.,46 mp
"Apartament cu 2 camere de vanzare in zona Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",160000.00 ,Dec.,53 mp
"Apartament cu 2 camere de vanzare in zona Gheorgheni!
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",166000.00 ,Dec.,41 mp
"Apartament cu 2 camere de vanzare in zona Grigorescu
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Grigorescu",125000.00 ,Semidec.,41 mp
"Apartament cu 2 camere de vanzare in zona Grigorescu
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Grigorescu",169000.00 ,Semidec.,49 mp
"Apartament cu 2 camere de vanzare in zona Grigorescu
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Grigorescu",200000.00 ,Semidec.,77 mp
"Apartament cu 2 camere de vanzare in zona Intre Lacuri
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Între Lacuri",129500.00 ,Dec.,50 mp
"Apartament cu 2 camere de vanzare in zona Iris
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Iris",97000.00 ,Dec.,40 mp
"Apartament cu 2 camere de vanzare in zona Manastur
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Manastur",102000.00 ,Dec.,51 mp
"Apartament cu 2 camere de vanzare in zona Manastur
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",109000.00 ,Dec.,52 mp
"Apartament cu 2 camere de vanzare in zona Manastur
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",112000.00 ,Dec.,54 mp
"Apartament cu 2 camere de vanzare in zona Manastur
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",115000.00 ,Semidec.,50 mp
"Apartament cu 2 camere de vanzare in zona Manastur
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",117000.00 ,Dec.,52 mp
"Apartament cu 2 camere de vanzare in zona Manastur
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",120000.00 ,Semidec.,43 mp
"Apartament cu 2 camere de vanzare in zona Manastur
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",125000.00 ,,
"Apartament cu 2 camere de vanzare in zona Manastur
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",139000.00 ,Dec.,53 mp
"Apartament cu 2 camere de vanzare in zona Manastur
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",73500.00 ,Dec.,35 mp
"Apartament cu 2 camere de vanzare in zona Manastur
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",81500.00 ,Dec.,40 mp
"Apartament cu 2 camere de vanzare in zona Manastur
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",82000.00 ,Dec.,40 mp
"Apartament cu 2 camere de vanzare in zona Manastur
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",86000.00 ,Semidec.,37 mp
"Apartament cu 2 camere de vanzare in zona Manastur.
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Manastur",86000.00 ,Semidec.,41 mp
"Apartament cu 2 camere de vanzare in zona Marasti
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",145000.00 ,Dec.,52 mp
"Apartament cu 2 camere de vanzare in zona Marasti
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",163000.00 ,Semidec.,61.29 mp
"Apartament cu 2 camere de vanzare in zona Minerva.
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",135000.00 ,Dec.,52 mp
"Apartament cu 2 camere de vanzare in zona Plopilor
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Plopilor",137000.00 ,Dec.,52 mp
"Apartament cu 2 camere de vanzare in zona Semicentrala
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",180000.00 ,Semidec.,57 mp
"Apartament cu 2 camere de vanzare in zona Someseni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Someseni",109500.00 ,Semidec.,53 mp
"Apartament cu 2 camere de vanzare in zona Sopor
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Sopor",145000.00 ,Semidec.,57 mp
"Apartament cu 2 camere de vanzare in zona Ultracentral
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Ultracentral",137000.00 ,Semidec.,39 mp
"Apartament cu 2 camere de vanzare in zona Ultracentral
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Ultracentral",248000.00 ,Dec.,58 mp
"Apartament cu 2 camere de vanzare in zona Ultracentrala
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Ultracentral",165000.00 ,,
"Apartament cu 2 camere de vanzare in zona Ultracentrala
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Ultracentral",285000.00 ,Dec.,80 mp
"Apartament cu 2 camere de vanzare in zona Ultracentrala
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Ultracentral",315000.00 ,Nedec.,60 mp
"Apartament cu 2 camere de vanzare in zona Vest
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Vest",120000.00 ,Semidec.,54 mp
"Apartament cu 2 camere de vanzare in zona Vest
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Vest",96000.00 ,Semidec.,59 mp
"Apartament cu 2 camere de vanzare in zona Vivo.
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Vest",105000.00 ,Dec.,48 mp
"Apartament cu 2 camere de vanzare in zona Vivo.
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Vest",125000.00 ,Dec.,55 mp
"Apartament cu 2 camere de vanzare in zona Vivo.
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Vest",63000.00 ,Semidec.,38 mp
"Apartament cu 2 camere de vanzare in zona Vivo.
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Vest",98000.00 ,Semidec.,43 mp
"Apartament cu 2 camere de vanzare in zona Vivo.
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Vest",99500.00 ,Semidec.,50 mp
"Apartament cu 2 camere de vanzare in zona Zorilor
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor", € -   ,Semidec.,59 mp
"Apartament cu 2 camere de vanzare in zona Zorilor
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor",138000.00 ,Dec.,42 mp
"Apartament cu 2 camere de vanzare in zona Zorilor
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor",149000.00 ,Semidec.,48 mp
"Apartament cu 2 camere de vanzare in zona Zorilor
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor",65000.00 ,Dec.,45 mp
"Apartament cu 2 camere de vanzare in Zorilor
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor",130000.00 ,Dec.,52 mp
"Apartament cu 2 camere de vanzare in Zorilor
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor",133000.00 ,Semidec.,41 mp
"Apartament cu 2 camere de vanzare in Zorilor
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor",178900.00 ,Semidec.,55 mp
"Apartament cu 2 camere de vanzare in Zorilor,zona Golden Tulip
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor",115000.00 ,Dec.,54 mp
"Apartament cu 2 camere de vanzare in Zorilor.
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Zorilor",85000.00 ,Dec.,52 mp
"Apartament cu 2 camere de vanzare Intre Lacuri!
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Între Lacuri",119000.00 ,Semidec.,39 mp
"Apartament cu 2 camere de vanzare Marasti!
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",146000.00 ,Dec.,39 mp
"Apartament cu 2 camere de vanzare pe strada Edgar Quinet
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Câmpului",108000.00 ,Semidec.,50 mp
"Apartament cu 2 camere de vanzare pe strada Edgar Quinet
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Câmpului",109000.00 ,Dec.,46 mp
"Apartament cu 2 camere de vanzare situat in Marasti!
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Marasti",125500.00 ,Dec.,57 mp
"Apartament cu 2 camere de vanzare
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",119500.00 ,Dec.,49 mp
"Apartament cu 2 camere de vanzare, 39 mp+balcon 3 mp, Marasti
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",146000.00 ,Semidec.,39 mp
"Apartament cu 2 camere de vanzare, Floresti
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Vest",115000.00 ,Dec.,50 mp
"Apartament cu 2 camere de vanzare, in Cluj-Napoca, Parcul Primaverii
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",98750.00 ,Dec.,46 mp
"Apartament cu 2 camere de vanzare, in zona Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",129000.00 ,Semidec.,45 mp
"Apartament cu 2 camere de vanzare, Marasti, bloc nou
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",135000.00 ,Semidec.,41 mp
"Apartament cu 2 camere de vanzare, Marasti, bloc nou, Fabricii 105
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mărăşti",112000.00 ,Semidec.,40 mp
"Apartament cu 2 camere de vanzare, zona Donath
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Grigorescu",106800.00 ,Dec.,60 mp
"Apartament cu 2 camere de vanzare, zona Iris
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Iris",118000.00 ,Dec.,59 mp
"Apartament cu 2 camere de vanzare, zona Mihai Viteazul
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",170000.00 ,Semidec.,43 mp
"Apartament cu 2 camere de vanzare, zona ultracentrala!
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",169000.00 ,Semidec.,47 mp
"Apartament cu 2 camere de vazare | Ego Residence | Bloc Nou | Mobilat
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Dâmbul Rotund",119000.00 ,Semidec.,45 mp
"Apartament cu 2 camere de vazare | Gheorgheni | Utilat | Mobilat
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",89500.00 ,Semidec.,40 mp
"Apartament cu 2 camere dec. la 3 minute de Kaufland!
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",96900.00 ,Dec.,42 mp
"Apartament cu 2 camere decomandat de vanzare in Gheorgheni
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",125000.00 ,Dec.,55 mp
"Apartament cu 2 camere decomandat de vanzare in zona Semicentrala - Horea - Gara
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Central",165000.00 ,Dec.,84 mp
"Apartament cu 2 camere decomandat Gheorgheni!
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",116000.00 ,Dec.,49 mp
"Apartament cu 2 camere decomandat in cartierul Gheorgheni. Comision 0!
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",123000.00 ,Dec.,49.67 mp
"Apartament cu 2 camere decomandat in zona Titulescu!
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",159900.00 ,Dec.,50 mp
"Apartament cu 2 camere decomandat, 59 mp utili, parcare subterana, bloc nou
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",115000.00 ,Dec.,59 mp
"Apartament cu 2 camere decomandat, Bucegi 3-5
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",88900.00 ,Dec.,40 mp
"Apartament cu 2 camere decomandat, etaj intermediar, zona Iulius Mall
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",160000.00 ,Dec.,55 mp
"Apartament cu 2 camere decomandat, zona Iulius Mall
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",123000.00 ,Dec.,50 mp
"Apartament cu 2 camere decomandat, zona Winmarkt!
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Mănăştur",89900.00 ,Dec.,39.08 mp
"Apartament cu 2 camere decomandat,situat zona Iulius Mall!
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",131000.00 ,Dec.,57 mp
"Apartament cu 2 camere decomandat,situat zona Iulius Mall!
                            
        
        
        
        
            
                
                    
                    Cluj-Napoca, zona Gheorgheni",160000.00 ,Dec.,53 mp
